training_step,sparsity,eval_loss,eval_acc,eval_f1,eval_acc_and_f1
0,0,0.9298344574430409,0.8553921568627451,0.8981001727115717,0.8767461647871584
1,0,1.1895641396735228,0.8504901960784313,0.893542757417103,0.8720164767477672
2,0,1.4850542313035797,0.8308823529411765,0.8812392426850257,0.8560607978131012
3,16.25999999999999,1.4759754541457868,0.8284313725490197,0.8813559322033899,0.8548936523762047
4,29.279999999999994,1.6760621435355907,0.8063725490196079,0.8658743633276741,0.836123456173641
5,39.42,1.8962978294082717,0.7867647058823529,0.8547579298831386,0.8207613178827458
6,47.040000000000006,2.266522573197589,0.75,0.8344155844155844,0.7922077922077921
7,52.5,2.4683635807504842,0.7303921568627451,0.8202614379084968,0.7753267973856209
8,56.16,2.8710555533568063,0.7009803921568627,0.7986798679867988,0.7498301300718307
9,58.38,3.0392298634145773,0.7132352941176471,0.8053244592346089,0.759279876676128
